msg_id,t_db_ack_ms
fire_system_esp32_134896,1769624587171
fire_system_esp32_134916,1769624587264
fire_system_esp32_139896,1769624592239
fire_system_esp32_139916,1769624592504
fire_system_esp32_144896,1769624597177
fire_system_esp32_144916,1769624597273
fire_system_esp32_7926,1769624605380
fire_system_esp32_7926,1769624605474
fire_system_esp32_12926,1769624610219
fire_system_esp32_12946,1769624610314
fire_system_esp32_17926,1769624615172
fire_system_esp32_17946,1769624615273
fire_system_esp32_22926,1769624620186
fire_system_esp32_22946,1769624620283
fire_system_esp32_27926,1769624625174
fire_system_esp32_27946,1769624625269
fire_system_esp32_32926,1769624630173
fire_system_esp32_32946,1769624630275
fire_system_esp32_37926,1769624635182
fire_system_esp32_37946,1769624635281
fire_system_esp32_42926,1769624640177
fire_system_esp32_42946,1769624640274
fire_system_esp32_47926,1769624645180
fire_system_esp32_47946,1769624645280
fire_system_esp32_52936,1769624650190
fire_system_esp32_52946,1769624650288
fire_system_esp32_57936,1769624655184
fire_system_esp32_57946,1769624655287
fire_system_esp32_62936,1769624660194
fire_system_esp32_62956,1769624660300
fire_system_esp32_67936,1769624665189
fire_system_esp32_67956,1769624665297
fire_system_esp32_72936,1769624670199
fire_system_esp32_72956,1769624670304
fire_system_esp32_77936,1769624675196
fire_system_esp32_77956,1769624675290
fire_system_esp32_82936,1769624680196
fire_system_esp32_82956,1769624680302
fire_system_esp32_87936,1769624685304
fire_system_esp32_87956,1769624685414
fire_system_esp32_92936,1769624690187
fire_system_esp32_92956,1769624690290
fire_system_esp32_97936,1769624695195
fire_system_esp32_97956,1769624695297
fire_system_esp32_102936,1769624700185
fire_system_esp32_102956,1769624700281
fire_system_esp32_107936,1769624705189
fire_system_esp32_107956,1769624705288
fire_system_esp32_112936,1769624710183
fire_system_esp32_112956,1769624710279
fire_system_esp32_117936,1769624715182
fire_system_esp32_117956,1769624715274
fire_system_esp32_122936,1769624720184
fire_system_esp32_122956,1769624720279
fire_system_esp32_127936,1769624725193
fire_system_esp32_127956,1769624725288
fire_system_esp32_132936,1769624730189
fire_system_esp32_132956,1769624730296
fire_system_esp32_137936,1769624735187
fire_system_esp32_137956,1769624735286
fire_system_esp32_142936,1769624740181
fire_system_esp32_142956,1769624740281
fire_system_esp32_147936,1769624745182
fire_system_esp32_147956,1769624745276
fire_system_esp32_152936,1769624750202
fire_system_esp32_152956,1769624750302
fire_system_esp32_157936,1769624755211
fire_system_esp32_157956,1769624755306
fire_system_esp32_162936,1769624760191
fire_system_esp32_162956,1769624760294
fire_system_esp32_167936,1769624765191
fire_system_esp32_167956,1769624765288
fire_system_esp32_172936,1769624770190
fire_system_esp32_172956,1769624770291
fire_system_esp32_177936,1769624775186
fire_system_esp32_177956,1769624775291
fire_system_esp32_182936,1769624780177
fire_system_esp32_182956,1769624780271
fire_system_esp32_187936,1769624785195
fire_system_esp32_187956,1769624785298
fire_system_esp32_192936,1769624790195
fire_system_esp32_192956,1769624790294
fire_system_esp32_197936,1769624795188
fire_system_esp32_197956,1769624795282
fire_system_esp32_202936,1769624800195
fire_system_esp32_202956,1769624800294
fire_system_esp32_207936,1769624805202
fire_system_esp32_207956,1769624805296
fire_system_esp32_212936,1769624810181
fire_system_esp32_212956,1769624810277
fire_system_esp32_217936,1769624815180
fire_system_esp32_217956,1769624815270
fire_system_esp32_222936,1769624820182
fire_system_esp32_222956,1769624820291
fire_system_esp32_227936,1769624825190
fire_system_esp32_227956,1769624825294
fire_system_esp32_232936,1769624830178
fire_system_esp32_232956,1769624830274
fire_system_esp32_237936,1769624835180
fire_system_esp32_237956,1769624835274
fire_system_esp32_242936,1769624840196
fire_system_esp32_242956,1769624840310
fire_system_esp32_247936,1769624845189
fire_system_esp32_247956,1769624845295
fire_system_esp32_252936,1769624850196
fire_system_esp32_252956,1769624850295
fire_system_esp32_257936,1769624855191
fire_system_esp32_257956,1769624855284
fire_system_esp32_262936,1769624860194
fire_system_esp32_262956,1769624860292
fire_system_esp32_267936,1769624869872
fire_system_esp32_267956,1769624869970
fire_system_esp32_272956,1769624870105
fire_system_esp32_272936,1769624870300
fire_system_esp32_277936,1769624875172
fire_system_esp32_277956,1769624875267
fire_system_esp32_282936,1769624880186
fire_system_esp32_282956,1769624880285
fire_system_esp32_287936,1769624885184
fire_system_esp32_287956,1769624885296
fire_system_esp32_292936,1769624890196
fire_system_esp32_292956,1769624890287
fire_system_esp32_297936,1769624895199
fire_system_esp32_297956,1769624895297
fire_system_esp32_302936,1769624900181
fire_system_esp32_302956,1769624900289
fire_system_esp32_307936,1769624905201
fire_system_esp32_307956,1769624905300
fire_system_esp32_312936,1769624910199
fire_system_esp32_312956,1769624910298
fire_system_esp32_317936,1769624915200
fire_system_esp32_317956,1769624915298
fire_system_esp32_322936,1769624920203
fire_system_esp32_322956,1769624920320
fire_system_esp32_327936,1769624925190
fire_system_esp32_327956,1769624925292
fire_system_esp32_332936,1769624930186
fire_system_esp32_332956,1769624930284
fire_system_esp32_337936,1769624935182
fire_system_esp32_337956,1769624935284
fire_system_esp32_342936,1769624940191
fire_system_esp32_342956,1769624940296
fire_system_esp32_347936,1769624945191
fire_system_esp32_347956,1769624945287
fire_system_esp32_352936,1769624950198
fire_system_esp32_352956,1769624950292
fire_system_esp32_357936,1769624955185
fire_system_esp32_357956,1769624955283
fire_system_esp32_362936,1769624960186
fire_system_esp32_362956,1769624960280
fire_system_esp32_367936,1769624965191
fire_system_esp32_367956,1769624965297
fire_system_esp32_372936,1769624970204
fire_system_esp32_372956,1769624970306
fire_system_esp32_377936,1769624975406
fire_system_esp32_377956,1769624975513
fire_system_esp32_382936,1769624980199
fire_system_esp32_382956,1769624980298
fire_system_esp32_387936,1769624985184
fire_system_esp32_387956,1769624985282
fire_system_esp32_392936,1769624990180
fire_system_esp32_392956,1769624990276
fire_system_esp32_397936,1769624995189
fire_system_esp32_397956,1769624995288
fire_system_esp32_402936,1769625000192
fire_system_esp32_402956,1769625000289
fire_system_esp32_407936,1769625005189
fire_system_esp32_407956,1769625005284
fire_system_esp32_412936,1769625010185
fire_system_esp32_412956,1769625010286
fire_system_esp32_417936,1769625015192
fire_system_esp32_417956,1769625015293
fire_system_esp32_422936,1769625020196
fire_system_esp32_422956,1769625020291
fire_system_esp32_427936,1769625025192
fire_system_esp32_427956,1769625025290
fire_system_esp32_432936,1769625030188
fire_system_esp32_432956,1769625030289
fire_system_esp32_437936,1769625035180
fire_system_esp32_437956,1769625035278
fire_system_esp32_442936,1769625040185
fire_system_esp32_442956,1769625040296
fire_system_esp32_447936,1769625045577
fire_system_esp32_447956,1769625045671
fire_system_esp32_452936,1769625050186
fire_system_esp32_452956,1769625050286
fire_system_esp32_457936,1769625055188
fire_system_esp32_457956,1769625055288
fire_system_esp32_462936,1769625060201
fire_system_esp32_462956,1769625060298
fire_system_esp32_467936,1769625065182
fire_system_esp32_467956,1769625065280
fire_system_esp32_472936,1769625070183
fire_system_esp32_472956,1769625070280
fire_system_esp32_477936,1769625075184
fire_system_esp32_477956,1769625075290
fire_system_esp32_482936,1769625080196
fire_system_esp32_482956,1769625080303
fire_system_esp32_487936,1769625085195
fire_system_esp32_487956,1769625085293
fire_system_esp32_492936,1769625090192
fire_system_esp32_492956,1769625090291
fire_system_esp32_497936,1769625095192
fire_system_esp32_497956,1769625095293
fire_system_esp32_502936,1769625100200
fire_system_esp32_502956,1769625100301
fire_system_esp32_507936,1769625105179
fire_system_esp32_507956,1769625105276
fire_system_esp32_512936,1769625110185
fire_system_esp32_512956,1769625110277
fire_system_esp32_517936,1769625115169
fire_system_esp32_517956,1769625115266
fire_system_esp32_522936,1769625120180
fire_system_esp32_522956,1769625120284
fire_system_esp32_527936,1769625125193
fire_system_esp32_527956,1769625125287
fire_system_esp32_532936,1769625130185
fire_system_esp32_532956,1769625130282
fire_system_esp32_537936,1769625135176
fire_system_esp32_537956,1769625135274
fire_system_esp32_542936,1769625140194
fire_system_esp32_542956,1769625140293
fire_system_esp32_547946,1769625145184
fire_system_esp32_547956,1769625145286
fire_system_esp32_552946,1769625150186
fire_system_esp32_552966,1769625150281
fire_system_esp32_557946,1769625155192
fire_system_esp32_557966,1769625155292
fire_system_esp32_562946,1769625160201
fire_system_esp32_562966,1769625160306
fire_system_esp32_567946,1769625165194
fire_system_esp32_687946,1769625285212
fire_system_esp32_687976,1769625285319
fire_system_esp32_692946,1769625290201
fire_system_esp32_692976,1769625290296
fire_system_esp32_697946,1769625295203
fire_system_esp32_697976,1769625295303
fire_system_esp32_702946,1769625300190
fire_system_esp32_702976,1769625300284
fire_system_esp32_707946,1769625305183
fire_system_esp32_707976,1769625305279
fire_system_esp32_712946,1769625310185
fire_system_esp32_712976,1769625310284
fire_system_esp32_717946,1769625315181
fire_system_esp32_717976,1769625315278
fire_system_esp32_722946,1769625320204
fire_system_esp32_722976,1769625320313
fire_system_esp32_727946,1769625325189
fire_system_esp32_727976,1769625325285
fire_system_esp32_732946,1769625330201
fire_system_esp32_732976,1769625330297
fire_system_esp32_737976,1769625335124
fire_system_esp32_737946,1769625335319
fire_system_esp32_742946,1769625340193
fire_system_esp32_742976,1769625340291
fire_system_esp32_747946,1769625345181
fire_system_esp32_747976,1769625345278
fire_system_esp32_752946,1769625350195
fire_system_esp32_752976,1769625350290
fire_system_esp32_757946,1769625355181
fire_system_esp32_757976,1769625355276
fire_system_esp32_762946,1769625360192
fire_system_esp32_762976,1769625360291
fire_system_esp32_767946,1769625365204
fire_system_esp32_767976,1769625365316
